event_id,event_name,gender,nationality,age_group,division,work_1,work_2,work_3,work_4,work_5,work_6,work_7,work_8,total_time_sec,work_time_sec,roxzone_time_sec,run_time_sec,run_1_sec,roxzone_1_sec,run_2_sec,roxzone_2_sec,run_3_sec,roxzone_3_sec,run_4_sec,roxzone_4_sec,run_5_sec,roxzone_5_sec,run_6_sec,roxzone_6_sec,run_7_sec,roxzone_7_sec,run_8_sec,roxzone_8_sec,total_time_sec_calc,pct_stations,pct_runs,slowing_index
2EFMS4JI3AD,S5 2022 London,male,GBR,55-59,open,0:04:35,0:03:30,0:04:56,0:04:47,0:05:18,0:02:15,0:07:59,0:10:28,5799,2628,618,2553,305,42,305,71,302,98,303,102,314,87,322,109,323,109,379,0,14769,0.654275848060126,0.34572415193987405,0.24262295081967214
JGDMS4JI474,S5 2023 Miami,male,USA,30-34,open,0:04:25,0:05:09,0:05:22,0:05:19,0:05:03,0:03:34,0:05:14,0:07:23,5963,2489,273,3201,248,19,369,45,400,59,411,30,464,47,423,14,427,59,459,0,15400,0.5842857142857143,0.4157142857142857,0.8508064516129032
JGDMS4JI3D5,S5 2022 Essen,male,GER,16-24,open,0:05:25,0:03:01,0:06:07,0:04:59,0:05:45,0:03:17,0:06:31,0:05:44,6250,2449,604,3197,320,37,302,107,551,102,425,91,437,89,374,89,368,89,420,0,16301,0.6077541255137722,0.39224587448622783,0.3125
JGDMS4JI47A,S5 2023 London,male,GBR,45-49,open,0:04:53,0:02:46,0:06:15,0:07:53,0:05:10,0:02:19,0:06:48,0:06:44,5873,2568,431,2874,303,46,342,60,359,65,358,43,372,65,357,65,358,87,425,0,15051,0.618098465218258,0.3819015347817421,0.40264026402640263
JGDMS4JI656,S6 2023 Stockholm,male,SWE,50-54,open,0:04:25,0:02:17,0:04:43,0:04:44,0:04:16,0:01:54,0:04:31,0:05:26,4735,1936,374,2425,327,55,278,30,293,61,285,13,305,74,299,67,297,74,341,0,12269,0.6046947591490749,0.3953052408509251,0.04281345565749235
JGDMS4JI619,S6 2023 Hamburg,male,GER,35-39,open,0:04:08,0:02:19,0:03:23,0:03:45,0:04:15,0:01:47,0:04:22,0:05:00,4330,1739,348,2243,295,41,268,51,268,54,276,34,277,45,274,74,275,49,310,0,11251,0.6012798862323349,0.3987201137676651,0.05084745762711865
JGDMS4JI5E2,S6 2023 Birmingham,male,GBR,35-39,open,0:04:13,0:03:26,0:04:44,0:07:02,0:04:56,0:02:50,0:10:31,0:10:06,6147,2868,454,2825,238,57,306,78,347,80,343,65,360,52,378,58,362,64,491,0,15573,0.6371925768959096,0.3628074231040904,1.0630252100840336
JGDMS4JI656,S6 2023 Stockholm,male,SWE,30-34,open,0:04:04,0:02:13,0:04:01,0:04:38,0:04:20,0:01:38,0:03:30,0:04:50,4353,1754,318,2281,295,48,261,24,281,64,283,11,294,60,286,63,281,48,300,0,11305,0.5964617425917735,0.40353825740822646,0.01694915254237288
JGDMS4JI3FE,S5 2022 Los Angeles,male,CHN,30-34,open,0:05:17,0:07:47,0:10:55,0:06:36,0:05:56,0:02:56,0:06:38,0:12:08,6770,3493,497,2780,334,18,289,66,319,83,337,90,387,43,329,71,316,126,469,0,16817,0.6693821728013319,0.330617827198668,0.4041916167664671
JGDMS4JI44E,S5 2023 Chicago - North American Open Championship,female,USA,35-39,open,0:04:30,0:01:55,0:03:37,0:04:30,0:04:55,0:01:57,0:04:02,0:02:54,4742,1700,345,2697,356,47,312,28,317,65,319,16,331,53,325,70,329,66,408,0,12526,0.5693756985470222,0.4306243014529778,0.14606741573033707
